2025-06-09 20:21:50 - User: testuser2, Action: LOGIN, Status: success, IP: ::1
2025-06-09 20:33:42 - User: testuser2, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 20:35:01 - User: testuser2, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 20:50:51 - User: user, Action: REGISTRATION, Status: success, IP: ::1
2025-06-09 20:51:00 - User: user, Action: LOGIN, Status: success, IP: ::1
2025-06-09 20:51:06 - User: user, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 20:56:22 - User: user, Action: LOGIN, Status: success, IP: ::1
2025-06-09 20:56:32 - User: user, Action: LOGIN, Status: success, IP: ::1
2025-06-09 20:56:39 - User: testuser, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:00:18 - User: testuser, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 21:03:18 - User: testuser, Action: MFA_VERIFICATION, Status: failed, IP: ::1
2025-06-09 21:03:32 - User: testuser, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:03:39 - User: testuser, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:03:46 - User: testuser2, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:14:51 - User: testuser2, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 21:15:43 - User: ayan, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:16:29 - User: ayan, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 21:16:41 - User: ayan, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 21:16:46 - User: testuser, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:17:17 - User: testuser, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 21:17:41 - User: ayan, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:18:22 - User: ayan, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 21:20:41 - User: ayan, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:23:27 - User: ayan, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 21:23:37 - User: ayan, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:25:50 - User: ayan, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 21:26:03 - User: Joshu, Action: LOGIN, Status: failed, IP: ::1
2025-06-09 21:26:09 - User: Joshua, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:26:28 - User: Joshua, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 21:26:37 - User: Joshua, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 21:27:42 - User: Joshua, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:27:56 - User: Joshua, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 21:28:21 - User: Joshua, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 21:29:38 - User: Joshua, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 21:29:54 - User: testuser, Action: LOGIN, Status: failed, IP: ::1
2025-06-09 21:30:02 - User: testuser2, Action: LOGIN, Status: success, IP: ::1
2025-06-09 21:30:24 - User: testuser2, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 21:33:10 - User: testuser2, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 21:36:31 - User: testuser2, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 21:39:30 - User: testuser2, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-09 22:16:46 - User: testuser2, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 22:17:24 - User: ayan, Action: LOGIN, Status: success, IP: ::1
2025-06-09 22:17:28 - User: ayan, Action: LOGOUT, Status: success, IP: ::1
2025-06-09 22:17:38 - User: testuser, Action: LOGIN, Status: success, IP: ::1
